"filename", "language", "Markdown", "JSON", "JavaScript", "HTML", "vue", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\README.md", "Markdown", 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\index.html", "HTML", 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\package-lock.json", "JSON", 0, 1926, 0, 0, 0, 0, 0, 0, 1, 1927
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\package.json", "JSON", 0, 26, 0, 0, 0, 0, 0, 0, 1, 27
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\App.vue", "vue", 0, 0, 0, 0, 29, 0, 0, 0, 3, 32
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\assets\imgs\default-avatar.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\assets\imgs\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\assets\styles\basics\_base.scss", "SCSS", 0, 0, 0, 0, 0, 72, 0, 0, 15, 87
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\assets\styles\basics\_helpers.scss", "SCSS", 0, 0, 0, 0, 0, 64, 0, 3, 23, 90
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\assets\styles\basics\_layout.scss", "SCSS", 0, 0, 0, 0, 0, 8, 0, 0, 1, 9
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\assets\styles\cmps\_board-filter.scss", "SCSS", 0, 0, 0, 0, 0, 145, 0, 0, 35, 180
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\assets\styles\cmps\_board-header.scss", "SCSS", 0, 0, 0, 0, 0, 59, 0, 0, 10, 69
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\assets\styles\cmps\_group-list.scss", "SCSS", 0, 0, 0, 0, 0, 24, 0, 0, 6, 30
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\assets\styles\cmps\_group-preview.scss", "SCSS", 0, 0, 0, 0, 0, 147, 0, 1, 29, 177
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\assets\styles\cmps\_regular-modal.scss", "SCSS", 0, 0, 0, 0, 0, 201, 0, 4, 46, 251
